,Title,Genre,Premiere,Runtime,IMDB Score,Language,Month,Year,Is_english
139,Vampires vs. the Bronx,Horror comedy,2020-10-02,86,5.6,English,10,2020,1
140,Why Did You Kill Me?,Documentary,2021-04-14,83,5.6,English,4,2021,1
141,A Week Away,Christian musical,2021-03-26,97,5.7,English,3,2021,1
142,Caught by a Wave,Romantic teen drama,2021-03-25,99,5.7,Italian,3,2021,0
143,Christmas Inheritance,Romantic drama,2017-12-15,104,5.7,English,12,2017,1
144,Dad Wanted,Family,2020-09-11,102,5.7,Spanish,9,2020,0
145,El Camino Christmas,Dark comedy,2017-12-08,89,5.7,English,12,2017,1
146,Eli,Horror,2019-10-18,98,5.7,English,10,2019,1
147,Ginny Weds Sunny,Romantic comedy,2020-10-09,125,5.7,Hindi,10,2020,0
148,Good Sam,Drama,2019-05-16,89,5.7,English,5,2019,1
149,Lionheart,Comedy,2019-01-04,94,5.7,English,1,2019,1
150,Little Evil,Comedy horror,2017-09-01,94,5.7,English,9,2017,1
151,One Take,Documentary,2020-06-18,85,5.7,Thai,6,2020,0
152,"Out of Many, One",Documentary,2018-12-12,34,5.7,English,12,2018,1
153,Point Blank,Action,2019-07-12,86,5.7,English,7,2019,1
154,Prime Time,Thriller,2021-04-14,91,5.7,Polish,4,2021,0
155,The Do-Over,Action comedy,2016-05-27,108,5.7,English,5,2016,1
156,The Holiday Calendar,Romantic comedy,2018-11-02,95,5.7,English,11,2018,1
157,The Woman in the Window,Psychological thriller,2021-05-14,100,5.7,English,5,2021,1
158,The Wrong Missy,Comedy,2020-05-13,90,5.7,English,5,2020,1
159,Velvet Buzzsaw,Thriller,2019-02-01,112,5.7,English,2,2019,1
160,Yes Day,Comedy,2021-03-12,86,5.7,English,3,2021,1
161,15 August,Comedy-drama,2019-03-29,124,5.8,Marathi,3,2019,0
162,A California Christmas,Romantic comedy,2020-12-14,107,5.8,English,12,2020,1
163,A Christmas Prince,Romantic comedy,2017-11-17,92,5.8,English,11,2017,1
164,All Day and a Night,Drama,2020-05-01,121,5.8,English,5,2020,1
165,American Son,Drama,2019-11-01,90,5.8,English,11,2019,1
166,Barry,Biopic,2016-12-16,104,5.8,English,12,2016,1
167,Candy Jar,Comedy,2018-04-27,92,5.8,English,4,2018,1
168,Choked: Paisa Bolta Hai,Drama,2020-06-05,114,5.8,Hindi,6,2020,0
169,Class of '83,Drama,2020-08-21,98,5.8,Hindi,8,2020,0
170,Extinction,Science fiction/Thriller,2018-07-27,95,5.8,English,7,2018,1
171,Happy Anniversary,Romantic comedy,2018-03-30,78,5.8,English,3,2018,1
172,I Am All Girls,Thriller,2021-05-14,107,5.8,English,5,2021,1
173,Let It Snow,Romantic comedy,2019-11-08,92,5.8,English,11,2019,1
174,Mascots,Mockumentary,2016-10-13,95,5.8,English,10,2016,1
175,Operation Christmas Drop,Romantic comedy,2020-11-05,96,5.8,English,11,2020,1
176,Rajma Chawal,Comedy-drama,2018-11-30,118,5.8,Hindi,11,2018,0
177,Rich in Love,Romantic comedy,2020-04-30,105,5.8,Portuguese,4,2020,0
178,Rising High,Satire,2020-04-17,94,5.8,German,4,2020,0
179,Rodney King,One-man show,2017-04-28,52,5.8,English,4,2017,1
180,Sierra Burgess Is a Loser,Romantic comedy-drama,2018-09-07,105,5.8,English,9,2018,1
181,Small Crimes,Dark comedy,2017-04-28,95,5.8,English,4,2017,1
182,Special Correspondents,Satire,2016-04-29,100,5.8,English,4,2016,1
183,TAU,Science fiction/Thriller,2018-06-29,97,5.8,English,6,2018,1
184,The After Party,Comedy,2018-08-24,89,5.8,English,8,2018,1
185,The Babysitter: Killer Queen,Comedy/Horror,2020-09-10,102,5.8,English,9,2020,1
186,The Claus Family,Fantasy,2020-12-07,96,5.8,Dutch,12,2020,0
187,The Kissing Booth 2,Romantic comedy,2020-07-24,131,5.8,English,7,2020,1
188,The Perfect Date,Romantic comedy,2019-04-12,89,5.8,English,4,2019,1
189,What We Wanted,Drama,2020-11-11,93,5.8,German,11,2020,0
190,You've Got This,Romantic comedy,2020-10-02,111,5.8,Spanish,10,2020,0
191,6 Balloons,Drama,2018-04-06,75,5.9,English,4,2018,1
192,A Fall from Grace,Thriller,2020-01-17,120,5.9,English,1,2020,1
193,Amateur,Sports-drama,2018-04-06,96,5.9,English,4,2018,1
194,Army of the Dead,Zombie/Heist,2021-05-21,148,5.9,English,5,2021,1
195,Cam,Psychological horror,2018-11-16,94,5.9,English,11,2018,1
196,Earthquake Bird,Mystery,2019-11-15,107,5.9,English,11,2019,1
197,"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,2019-07-16,32,5.9,English,7,2019,1
198,Horse Girl,Drama,2020-02-07,104,5.9,English,2,2020,1
199,Notes from Dunblane: Lesson from a School Shooting,Documentary,2018-09-28,23,5.9,English,9,2018,1
200,Maska,Romantic comedy,2020-03-27,111,5.9,Hindi,3,2020,0
201,The Decline,Thriller,2020-03-27,83,5.9,French,3,2020,0
202,The Minimalists: Less Is Now,Documentary,2021-01-01,53,5.9,English,1,2021,1
203,The Polka King,Comedy-drama,2018-01-12,95,5.9,English,1,2018,1
204,The Prom,Musical,2020-12-11,132,5.9,English,12,2020,1
205,True Memoirs of an International Assassin,Action comedy,2016-11-11,98,5.9,English,11,2016,1
206,Ultras,Sports film,2020-03-20,108,5.9,Italian,3,2020,0
207,Come Sunday,Biopic,2018-04-13,106,6.0,English,4,2018,1
208,Forgive Us Our Debts,Drama,2018-05-04,104,6.0,Italian,5,2018,0
209,iBoy,Science fiction/Thriller,2017-01-27,90,6.0,English,1,2017,1
210,Lovefucked,Drama,2019-08-09,106,6.0,Hindi,8,2019,0
211,Juanita,Drama,2019-03-08,90,6.0,English,3,2019,1
212,Murder Mystery,Comedy mystery,2019-06-14,97,6.0,English,6,2019,1
213,Project Power,Superhero,2020-08-14,113,6.0,English,8,2020,1
214,Rebecca,Romantic thriller,2020-10-21,123,6.0,English,10,2020,1
215,The Christmas Chronicles: Part Two,Christmas comedy,2020-11-25,115,6.0,English,11,2020,1
216,The Kissing Booth,Romantic comedy,2018-05-11,105,6.0,English,5,2018,1
217,The Princess Switch,Romantic comedy,2018-11-16,101,6.0,English,11,2018,1
218,To All the Boys: P.S. I Still Love You,Romantic comedy,2020-02-12,102,6.0,English,2,2020,1
219,War Machine,War-Comedy,2017-05-26,122,6.0,English,5,2017,1
220,6 Underground,Action,2019-12-13,128,6.1,English,12,2019,1
221,Between Two Ferns: The Movie,Comedy,2019-09-20,82,6.1,English,9,2019,1
222,Burning Sands,Drama,2017-03-10,102,6.1,English,3,2017,1
223,Casting JonBenet,Documentary,2017-04-28,80,6.1,English,4,2017,1
224,Deidra & Laney Rob a Train,Drama,2017-03-17,94,6.1,English,3,2017,1
225,Finding 'Ohana,Family,2021-01-29,123,6.1,English,1,2021,1
226,Holidate,Romantic comedy/Holiday,2020-10-28,104,6.1,English,10,2020,1
227,Holiday in the Wild,Adventure-romance,2019-11-01,85,6.1,English,11,2019,1
228,Hot Girls Wanted,Documentary,2015-05-29,84,6.1,English,5,2015,1
229,Like Father,Comedy,2018-08-03,103,6.1,English,8,2018,1
230,Lost Girls,Crime drama,2020-03-13,95,6.1,English,3,2020,1
231,Otherhood,Comedy,2019-08-02,100,6.1,English,8,2019,1
232,Pee-wee's Big Holiday,Adventure,2016-03-18,89,6.1,English,3,2016,1
233,Rogue City,Crime drama,2020-10-30,116,6.1,French,10,2020,0
234,Sergio,Biopic,2020-04-17,118,6.1,English,4,2020,1
235,Stuck Apart,Drama,2021-01-08,96,6.1,Turkish,1,2021,0
236,Tersanjung the Movie,Drama,2021-04-01,114,6.1,Indonesian,4,2021,0
237,The Killer,Western,2017-11-10,99,6.1,Portuguese,11,2017,0
238,The Lovebirds,Romantic comedy,2020-05-22,87,6.1,English,5,2020,1
239,The Most Hated Woman in America,Biopic,2017-03-24,92,6.1,English,3,2017,1
240,The Perfection,Horror-thriller,2019-05-24,90,6.1,English,5,2019,1
241,Tribhanga � Tedhi Medhi Crazy,Drama,2021-01-15,95,6.1,Hindi,1,2021,0
242,Unknown Origins,Thriller,2020-08-28,96,6.1,Spanish,8,2020,0
243,Work It,Dance comedy,2020-08-07,93,6.1,English,8,2020,1
244,Alien Xmas,Stop Motion,2020-11-20,42,6.2,English,11,2020,1
245,Baggio: The Divine Ponytail,Biopic,2021-05-26,92,6.2,Italian,5,2021,0
246,Below Zero,Drama,2021-01-29,106,6.2,Spanish,1,2021,0
247,Citation,Drama,2020-11-06,151,6.2,English,11,2020,1
248,Crazy Awesome Teachers,Comedy-drama,2020-08-17,101,6.2,Indonesian,8,2020,0
249,Have You Ever Seen Fireflies?,Comedy,2021-04-09,114,6.2,Turkish,4,2021,0
250,High Flying Bird,Sports-drama,2019-02-08,90,6.2,English,2,2019,1
251,In the Shadow of the Moon,Thriller,2019-09-27,115,6.2,English,9,2019,1
252,Lost Bullet,Thriller,2020-06-19,92,6.2,French,6,2020,0
253,Octonauts & the Caves of Sac Actun,Animation,2020-08-14,72,6.2,English,8,2020,1
254,Offering to the Storm,Thriller,2020-07-24,139,6.2,Spanish,7,2020,0
255,Roxanne Roxanne,Biopic,2018-03-23,98,6.2,English,3,2018,1
256,Someone Great,Romantic comedy,2019-04-19,92,6.2,English,4,2019,1
257,Spenser Confidential,Action comedy,2020-03-06,111,6.2,English,3,2020,1
258,The Land of Steady Habits,Drama,2018-09-14,98,6.2,English,9,2018,1
259,The Rachel Divide,Documentary,2018-04-27,104,6.2,English,4,2018,1
260,Voyuer ,Documentary,2017-12-01,95,6.2,English,12,2017,1
261,Win It All,Comedy,2017-04-07,88,6.2,English,4,2017,1
262,1922,Horror/Crime drama,2017-10-20,102,6.3,English,10,2017,1
263,A Tale of Two Kitchens,Documentary,2019-05-22,30,6.3,English/Spanish,5,2019,1
264,Alex Strangelove,Romantic comedy,2018-06-08,99,6.3,English,6,2018,1
265,Apostle,Horror-thriller,2018-10-12,129,6.3,English,10,2018,1
266,Benji,Family film,2018-03-16,87,6.3,English,3,2018,1
267,Bright,Urban fantasy,2017-12-22,117,6.3,English,12,2017,1
268,Cargo,Drama/Horror,2018-05-18,104,6.3,English,5,2018,1
269,Concrete Cowboy,Drama,2021-04-02,111,6.3,English,4,2021,1
270,Feel the Beat,Family/Comedy-drama,2020-06-19,107,6.3,English,6,2020,1
271,Get the Goat,Comedy,2021-03-18,97,6.3,Portuguese,3,2021,0
272,I Am Not an Easy Man,Romantic comedy,2018-04-13,98,6.3,French,4,2018,0
273,June & Kopi,Drama,2021-01-28,90,6.3,Indonesian,1,2021,0
274,Music Teacher,Drama,2019-04-19,101,6.3,Hindi,4,2019,0
275,Nail Bomber: Manhunt,Documentary,2021-05-26,72,6.3,English,5,2021,1
276,Notes for My Son,Drama,2020-11-24,83,6.3,Spanish,11,2020,0
277,Polar,Action,2019-01-25,118,6.3,English,1,2019,1
278,Porta dos Fundos: The Last Hangover,Comedy,2018-12-21,44,6.3,Portuguese,12,2018,0
279,Sand Castle,War,2017-04-21,113,6.3,English,4,2017,1
280,Shimmer Lake,Crime thriller,2017-06-09,86,6.3,English,6,2017,1
281,Spectral,Science fiction/Action,2016-12-09,108,6.3,English,12,2016,1
282,The Babysitter,Teen comedy horror,2017-10-13,85,6.3,English,10,2017,1
283,The Discovery,Science fiction/Drama,2017-03-31,102,6.3,English,3,2017,1
284,The Forest of Love,Drama,2019-10-11,151,6.3,Japanese,10,2019,0
285,The Laundromat,Comedy-drama,2019-10-18,98,6.3,English,10,2019,1
286,The Legend of Cocaine Island,Documentary,2019-03-29,87,6.3,English,3,2019,1
287,The Outsider,Crime drama,2018-03-09,120,6.3,English/Japanese,3,2018,1
288,Time to Hunt,Thriller,2020-04-23,134,6.3,Korean,4,2020,0
289,To All the Boys: Always and Forever,Romantic comedy,2021-02-12,109,6.3,English,2,2021,1
290,Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85,6.3,English,8,2019,1
291,Uncorked,Drama,2020-03-27,103,6.3,English,3,2020,1
292,Anelka: Misunderstood,Documentary,2020-08-05,94,6.4,French,8,2020,0
293,"Ariana Grande: Excuse Me, I Love You",Concert Film,2020-12-21,97,6.4,English,12,2020,1
294,ARQ,Science fiction/Thriller,2016-09-16,88,6.4,English,9,2016,1
295,Birders,Documentary,2019-09-25,37,6.4,English/Spanish,9,2019,1
296,Como Ca�do del Cielo,Musical comedy,2019-12-24,112,6.4,Spanish,12,2019,0
297,First Match,Sports-drama,2018-03-30,102,6.4,English,3,2018,1
298,Fractured,Thriller,2019-10-11,100,6.4,English,10,2019,1
299,Irreplaceable You,Drama,2018-02-16,96,6.4,English,2,2018,1
300,Isi & Ossi,Romantic comedy,2020-02-14,113,6.4,German,2,2020,0
301,John Was Trying to Contact Aliens,Documentary,2020-08-20,16,6.4,English,8,2020,1
302,Layla Majnun,Romantic drama,2021-02-11,119,6.4,Indonesian,2,2021,0
303,Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97,6.4,English,4,2020,1
304,My Own Man,Documentary,2014-12-13,81,6.4,English,12,2014,1
305,Nappily Ever After,Comedy-drama,2018-09-21,98,6.4,English,9,2018,1
306,Over the Moon,Animation/Musical/Adventure,2020-10-23,95,6.4,English,10,2020,1
307,Street Flow,Drama,2019-10-12,96,6.4,French,10,2019,0
308,Strong Island,Documentary,2017-09-15,107,6.4,English,9,2017,1
309,Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,2019-09-27,41,6.4,English,9,2019,1
310,Take Your Pills,Documentary,2018-03-16,87,6.4,English,3,2018,1
311,The Heartbreak Club,Comedy-drama,2021-01-14,101,6.4,Indonesian,1,2021,0
312,The Mars Generation,Documentary,2017-05-05,97,6.4,English,5,2017,1
313,The Occupant,Thriller,2020-03-25,103,6.4,Spanish,3,2020,0
314,The Willoughbys,Animation/Comedy/Adventure,2020-04-22,90,6.4,English,4,2020,1
315,Triple Frontier,Action-thriller,2019-03-13,125,6.4,English,3,2019,1
316,Two Catalonias,Documentary,2018-09-28,116,6.4,Spanish/Catalan,9,2018,0
317,Walk. Ride. Rodeo.,Drama,2019-03-08,99,6.4,English,3,2019,1
318,Wheelman,Action thriller,2017-10-20,82,6.4,English,10,2017,1
319,When We First Met,Romantic comedy,2018-02-09,97,6.4,English,2,2018,1
320,A 3 Minute Hug,Documentary,2019-10-28,28,6.5,English/Spanish,10,2019,1
321,All the Bright Places,Romance,2020-02-28,108,6.5,English,2,2020,1
322,All Together Now,Drama,2020-08-28,93,6.5,English,8,2020,1
323,Altered Carbon: Resleeved,Anime/Science fiction,2020-03-19,74,6.5,Japanese,3,2020,0
324,Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60,6.5,French,3,2019,0
325,Canvas ,Animation / Short,2020-12-11,9,6.5,English,12,2020,1
326,Chadwick Boseman: Portrait of an Artist,Documentary,2021-04-17,21,6.5,English,4,2021,1
327,Chopsticks,Comedy,2019-05-31,100,6.5,Hindi,5,2019,0
328,Da 5 Bloods,War drama,2020-06-12,155,6.5,English,6,2020,1
329,Dolly Parton: A MusiCares Tribute,Documentary,2021-04-07,55,6.5,English,4,2021,1
330,Eurovision Song Contest: The Story of Fire Saga,Musical comedy,2020-06-26,123,6.5,English,6,2020,1
331,Gerald's Game,Horror thriller,2017-09-29,103,6.5,English,9,2017,1
332,His House,Thriller,2020-10-30,93,6.5,English,10,2020,1
333,Jingle Jangle: A Christmas Journey,Family/Christmas musical,2020-11-13,119,6.5,English,11,2020,1
334,Life Overtakes Me,Documentary,2019-06-14,40,6.5,English/Swedish,6,2019,1
335,Lust Stories,Drama,2018-06-15,120,6.5,Hindi,6,2018,0
336,Monster,Drama,2021-05-07,98,6.5,English,5,2021,1
337,Mowgli: Legend of the Jungle,Adventure,2018-12-07,104,6.5,English,12,2018,1
338,Nobody Knows I'm Here,Drama,2020-06-24,91,6.5,Spanish,6,2020,0
339,Nobody Speak: Trials of the Free Press,Documentary,2017-06-23,95,6.5,English,6,2017,1
340,Oxygen,Science fiction thriller,2021-05-12,101,6.5,French,5,2021,0
341,Set It Up,Romantic comedy,2018-06-15,105,6.5,English,6,2018,1
342,The Incredible Jessica James,Comedy,2017-07-28,83,6.5,English,7,2017,1
343,Tigertail,Drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin,4,2020,1
344,Tramps,Romance,2017-04-21,83,6.5,English,4,2017,1
345,What Did Jack Do?,Drama / Short,2020-01-20,17,6.5,English,1,2020,1
346,Bad Trip,Hidden-camera prank comedy,2021-03-26,86,6.6,English,3,2021,1
347,Bird Box,Psychological thriller,2018-12-21,124,6.6,English,12,2018,1
348,Bulbbul,Horror,2020-06-24,94,6.6,Hindi,6,2020,0
349,Crazy About Her,Romantic comedy,2021-02-26,102,6.6,Spanish,2,2021,0
350,Elisa & Marcela,Romance,2019-06-07,118,6.6,Spanish,6,2019,0
351,I'll Sleep When I'm Dead,Documentary,2016-08-19,79,6.6,English,8,2016,1
352,I'm Thinking of Ending Things,Psychological thriller,2020-09-04,134,6.6,English,9,2020,1
353,It Takes a Lunatic,Documentary,2019-10-25,126,6.6,English,10,2019,1
354,Milestone,Drama,2021-05-07,98,6.6,Hindi,5,2021,0
355,Recovery Boys,Documentary,2018-06-29,89,6.6,English,6,2018,1
356,ReMastered: Who Killed Jam Master Jay?,Documentary,2018-12-07,58,6.6,English,12,2018,1
357,Shawn Mendes: In Wonder,Documentary,2020-11-23,83,6.6,English,11,2020,1
358,Space Sweepers,Science fiction,2021-02-05,136,6.6,Korean,2,2021,0
359,The American Meme,Documentary,2018-12-07,98,6.6,English,12,2018,1
360,The Angel,Spy thriller,2018-09-14,114,6.6,English,9,2018,1
361,The Crimes That Bind,Crime drama,2020-08-20,99,6.6,Spanish,8,2020,0
362,The Red Sea Diving Resort,Spy thriller,2019-07-31,130,6.6,English,7,2019,1
363,What Would Sophia Loren Do?,Documentary,2021-01-15,32,6.6,English,1,2021,1
364,A Whisker Away,Anime/Fantasy,2020-06-18,104,6.7,Japanese,6,2020,0
365,Ajeeb Daastaans,Drama,2021-04-16,142,6.7,Hindi,4,2021,0
366,Arlo the Alligator Boy,Animated musical comedy,2021-04-16,92,6.7,English,4,2021,1
367,"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86,6.7,English,11,2019,1
368,Blame!,Anime/Science fiction,2017-05-20,106,6.7,Japanese,5,2017,0
369,Blue Miracle,Drama,2021-05-27,95,6.7,English,5,2021,1
370,CounterPunch ,Documentary,2017-06-16,91,6.7,English,6,2017,1
371,"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89,6.7,English,1,2021,1
372,Extraction,Action,2020-04-24,117,6.7,English,4,2020,1
373,Giving Voice,Documentary,2020-12-11,90,6.7,English,12,2020,1
374,Hillbilly Elegy,Drama,2020-11-24,117,6.7,English,11,2020,1
375,Hope Frozen: A Quest to Live Twice,Documentary,2020-09-15,80,6.7,Thia/English,9,2020,1
376,Imperial Dreams,Drama,2017-02-03,87,6.7,English,2,2017,1
377,Just Another Christmas,Comedy,2020-12-03,101,6.7,Portuguese,12,2020,0
378,Little Miss Sumo,Documentary,2019-10-28,19,6.7,Japanese,10,2019,0
379,Malcolm & Marie,Romantic drama,2021-02-05,106,6.7,English,2,2021,1
380,"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2017-02-07,54,6.7,English,2,2017,1
381,Moxie,Drama,2021-03-03,111,6.7,English,3,2021,1
382,Night in Paradise,Drama,2021-04-09,132,6.7,Korean,4,2021,0
383,Paper Lives,Drama,2021-03-12,97,6.7,Turkish,3,2021,0
384,Parchis: The Documentary,Documentary,2019-07-10,106,6.7,Spanish,7,2019,0
385,Tallulah,Comedy-drama,2016-07-29,111,6.7,English,7,2016,1
386,The Old Guard,Superhero/Action,2020-07-10,124,6.7,English,7,2020,1
387,Tony Robbins: I Am Not Your Guru,Documentary,2016-07-15,116,6.7,English,7,2016,1
388,Upstarts,Drama,2019-10-18,112,6.7,Hindi,10,2019,0
389,22 July,Drama,2018-10-10,144,6.8,English,10,2018,1
390,7 a�os,Drama,2016-10-28,76,6.8,Spanish,10,2016,0
391,A Futile and Stupid Gesture,Biographical/Comedy,2018-01-26,101,6.8,English,1,2018,1
392,A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020-03-20,92,6.8,Spanish,3,2020,0
393,A Love Song for Latasha,Documentary,2020-09-21,19,6.8,English,9,2020,1
394,All in My Family,Documentary,2019-05-03,39,6.8,English/Mandarin,5,2019,1
395,Always Be My Maybe,Romantic comedy,2019-05-31,102,6.8,English,5,2019,1
396,Becoming,Documentary,2020-05-06,89,6.8,English,5,2020,1
397,Long Live Brij Mohan,Comedy,2018-08-03,105,6.8,Hindi,8,2018,0
