,Title,Genre,Premiere,Runtime,IMDB Score,Language,Month,Year,Is_english
472,ReMastered: Tricky Dick & the Man in Black,Documentary,2018-11-02,58,7.1,English,11,2018,1
473,Rooting for Roona,Documentary,2020-10-15,41,7.1,Bengali,10,2020,0
474,The Devil All the Time,Psychological thriller,2020-09-16,138,7.1,English,9,2020,1
475,The Dig,Drama,2021-01-29,112,7.1,English,1,2021,1
476,The Great Hack,Documentary,2019-07-24,114,7.1,English,7,2019,1
477,The White Tiger,Drama,2021-01-22,125,7.1,English,1,2021,1
478,To All the Boys I've Loved Before,Romantic comedy,2018-08-17,99,7.1,English,8,2018,1
479,American Murder: The Family Next Door,Documentary,2020-09-30,82,7.2,English,9,2020,1
480,Audrie & Daisy,Documentary,2016-09-23,98,7.2,English,9,2016,1
481,First They Killed My Father,Drama,2017-09-15,136,7.2,Khmer/English/French,9,2017,1
482,Fyre: The Greatest Party That Never Happened,Documentary,2019-01-18,97,7.2,English,1,2019,1
483,Into the Inferno,Documentary,2016-10-28,107,7.2,English,10,2016,1
484,LA Originals,Documentary,2020-04-10,92,7.2,English,4,2020,1
485,Ladies First,Documentary,2018-03-08,39,7.2,English/Hindi,3,2018,1
486,Love per Square Foot,Romantic comedy,2018-02-14,133,7.2,Hindi,2,2018,0
487,Paddleton,Drama-Comedy,2019-02-22,89,7.2,English,2,2019,1
488,Private Life,Drama,2018-10-05,124,7.2,English,10,2018,1
489,Seventeen,Coming-of-age comedy-drama,2019-10-18,99,7.2,Spanish,10,2019,0
490,Sometimes,Drama,2018-05-01,101,7.2,Tamil,5,2018,0
491,Soni,Crime drama,2019-01-18,97,7.2,Hindi,1,2019,0
492,The 40-Year-Old Version,Comedy,2020-10-09,124,7.2,English,10,2020,1
493,The Disciple,Drama,2021-04-30,129,7.2,Marathi,4,2021,0
494,The Edge of Democracy,Documentary,2019-06-19,121,7.2,Portuguese,6,2019,0
495,The King,Historical drama,2019-11-01,140,7.2,English,11,2019,1
496,The Road to El Camino: A Breaking Bad Movie,Making-of,2019-10-29,13,7.2,English,10,2019,1
497,The Siege of Jadotville,War,2016-10-07,108,7.2,English,10,2016,1
498,Zion ,Documentary,2018-08-10,11,7.2,English,8,2018,1
499,Dolemite Is My Name,Biopic,2019-10-25,118,7.3,English,10,2019,1
500,El Camino: A Breaking Bad Movie,Crime drama,2019-10-11,121,7.3,English,10,2019,1
501,Extremis,Documentary,2016-09-13,24,7.3,English,9,2016,1
502,Father Soldier Son,Documentary,2020-07-17,100,7.3,English,7,2020,1
503,Get Me Roger Stone,Documentary,2017-05-12,101,7.3,English,5,2017,1
504,I'm No Longer Here,Drama,2020-05-27,105,7.3,Spanish,5,2020,0
505,Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,2020-07-08,96,7.3,Spanish/English,7,2020,1
506,Octonauts & the Great Barrier Reef,Animation,2020-10-13,47,7.3,English,10,2020,1
507,Okja,Action-adventure,2017-06-28,121,7.3,English/Korean,6,2017,1
508,On My Skin,Crime drama,2018-09-12,100,7.3,Italian,9,2018,0
509,Raat Akeli Hai,Thriller,2020-07-31,149,7.3,Hindi,7,2020,0
510,ReMastered: Massacre at the Stadium,Documentary,2019-01-11,64,7.3,English/Spanish,1,2019,1
511,ReMastered: The Two Killings of Sam Cooke,Documentary,2019-02-08,64,7.3,English,2,2019,1
512,Secrets of the Saqqara Tomb,Documentary,2020-10-28,114,7.3,English/Arabic,10,2020,1
513,Sitara: Let Girls Dream,Animation / Short,2020-03-08,15,7.3,English,3,2020,1
514,Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016-10-14,79,7.3,English/Mandarin,10,2016,1
515,Team Foxcatcher,Documentary,2016-04-29,90,7.3,English/Russian,4,2016,1
516,The Ballad of Buster Scruggs,Western,2018-11-16,132,7.3,English,11,2018,1
517,The Death and Life of Marsha P. Johnson,Documentary,2017-10-06,105,7.3,English,10,2017,1
518,The Fundamentals of Caring,Comedy-drama,2016-06-24,97,7.3,English,6,2016,1
519,The Other One: The Long Strange Trip of Bob Weir,Documentary,2015-05-22,83,7.3,English,5,2015,1
520,American Factory,Documentary,2019-08-21,110,7.4,English,8,2019,1
521,Fire in Paradise,Documentary,2019-11-01,39,7.4,English,11,2019,1
522,Long Shot,Documentary,2017-09-29,40,7.4,English,9,2017,1
523,Miss Americana,Documentary,2020-01-31,85,7.4,English,1,2020,1
524,Period. End of Sentence.,Documentary,2019-02-12,26,7.4,English/Hindi,2,2019,1
525,Shawn Mendes: Live in Concert,Concert Film,2020-11-25,87,7.4,English,11,2020,1
526,Shirkers,Documentary,2018-10-26,97,7.4,English,10,2018,1
527,The Black Godfather,Documentary,2019-06-07,118,7.4,English,6,2019,1
528,The Irishman: In Conversation,Aftershow / Interview,2019-11-27,23,7.4,English,11,2019,1
529,The Speed Cubers,Documentary,2020-07-29,40,7.4,English,7,2020,1
